,0,1,price,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales,Num. Active ATMs (all time),Num. Active 424s (all time),Num. Active 424B5s (past year),Num. Active 424B3s (past year),Shares Raised in the Past Year,Dollars Raised in the Past Year,Current Offering (shares),Current Offering (cash),ATM Present,Offering Present,change1m,change5m,open price,pm high,High Change,Detection TS,Hour,Minute,Volume Current Day,Volume PM,Change 1m,Change 5m,trend_data,trend_string,open_price,pm_open,hi_price,length_uptrend,length_retrace,Trend Data (present opportunity),Percentage Downtrend,Max. Downmove,Max. Upmove,Initial Trend,Initial Trend Move,Reaction,Change to High,Change from High,Change from Open,Prior Day Range,Length Prior,Length After,Shares Traded,PD High,Prior Day Price Action Trend,Open,High,Low,Low Change,Range,Change from pm open to pm high,PM high to mkt open,PM retrace: PM gap,Premarket Move Change Classification,Premarket Move Time Classification,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,IO Class,Float Class,downmove_percentage,upmove_percentage,backside_move_type,frontside_move_type,Open Price,Close Price,Downmove%,Upmove%,Max Price,Backward_move,Forward_move,Largest Pop 1m,Largest Pop 5m,Time from open to nearest megaseller,Num. Large Sellers
1,ADMP,2017-01-19,3.25,96197530.0,8610924.0,22634713.0,5095760.0,5964704.0,0.821,-3.571,0.06,0.495,7397910.0,4330845.0,71771.0,2469955.0,14.859000000000002,0,1,0,1,0.0,0.0,4448274.0,0.0,False,True,0.030769230769230795,0.0,3.25,3.55,0.0,2017-01-19 08:00:00,8.0,0.0,22700.0,395939.0,-0.0031645569620254443,-0.0031645569620254443,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0              30.0      0.031746  Uptrend     3.15        3.25",Uptrend,3.25,3.15,3.55,1,26,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               2.0      0.015385    Uptrend          284        286       2
1               6.0     -0.081667  Downtrend          286        292       6
2              10.0      0.070780    Uptrend          292        301       9
3             309.0     -0.137134  Downtrend          301        485     184
4             151.0      0.089286    Uptrend          485        523      38",0.7949790794979079,-0.13713405238828974,0.08928571428571429,Uptrend,0.015384615384615332,-0.08166666666666662,0.07181818181818185,-0.1518235793044953,-0.09090909090909086,0.2030612244897959,363.0,740.0,2625478.0,3.537,Sideways,3.35,3.35,2.8166,-0.1592238805970149,0.1592238805970149,0.12698412698412695,0.08450704225352107,0.6654929577464788,Medium Retracement,Sudden Upmove to Fade,21990000.0,21990000.0,1.0,0.0,0.0,Low IO,Large Float,,,downmove,no upside,3.25,3.05,-0.11781538461538454,0.0,3.25,0.0,-0.06153846153846159,-0.03333333333333336,-0.06542056074766353,,0.0
2,AEHR,2017-02-09,3.3199999332427983,41941451.0,4191000.0,16643433.0,5154000.0,2747000.0,3.112,-4.131,-0.09,2.8110000000000004,6051000.0,0.0,181000.0,4216000.0,3.281,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.04518072289156624,-0.043313253012048115,3.32,3.47,0.0567823343848581,2017-02-09 07:59:00,7.0,59.0,71069.0,1402915.0,-0.011760797342192595,-0.01661129568106301,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0             138.0      0.144828  Uptrend      2.9        3.32",Uptrend,3.32,2.9,3.47,19,31,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              67.0     -0.114458  Downtrend          475        542      67
1             448.0      0.125850    Uptrend          542        807     265",0.20180722891566266,-0.11445783132530114,0.12585034013605445,Downtrend,-0.11445783132530114,0.12585034013605445,0.45388,-0.16911987234159628,0.20800000000000002,0.6879673059954488,304.0,267.0,9408135.0,3.6347,Uptrending,3.17,3.35,2.94,-0.0725552050473186,0.1293375394321767,0.19655172413793115,0.043227665706051965,0.2199302290307906,Medium-Small Retracement,Medium Downtrend,16640000.0,16640000.0,1.0,0.0,0.0,Low IO,Medium,,,micro downmove,retracement,3.1762,3.31,-0.07005226371135323,0.04574648951577349,3.3215,0.04574648951577349,-0.0034622911335239637,-0.04819277108433726,-0.04819277108433726,0 days 00:00:00.551580000,2.0
4,AMTX,2017-01-19,1.7699999809265137,23241807.0,27216000.0,19696447.0,1486000.0,4421000.0,0.259,-1.494,-0.07,-2.562,111714000.0,11409000.0,2814000.0,37396000.0,0.162,2,3,2,2,0.0,10000000.0,76500.0,10000000.0,True,True,0.039548022598870095,0.10169491525423724,1.77,2.11,0.35326086956521746,2017-01-19 08:04:00,8.0,4.0,1747.0,726285.0,0.0,-0.1055276381909548,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0               4.0      0.159341    Uptrend     1.82        1.77
1              26.0     -0.161137  Downtrend     1.82        1.77","Uptrend, Downtrend",1.77,1.82,2.11,2,2,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              12.0      0.355932    Uptrend          146        158      12
1             384.0     -0.333333  Downtrend          158        253      95",0.8878504672897196,-0.3333333333333333,0.35593220338983045,Uptrend,0.35593220338983045,-0.3333333333333333,0.10303030303030312,-0.043956043956044,0.0545454545454546,0.2727272727272728,435.0,2.0,574375.0,1.82,Sideways,1.84,2.49,1.59,-0.1358695652173913,0.4891304347826088,0.15934065934065925,0.16113744075829378,1.0112763523451551,Full Retracement,Equal Uptrend/Downtrend,19860000.0,9957804.000000002,0.5014000000000001,4.23,45.63,Low IO,Medium,,,downmove,small squeeze,1.95,1.59,-0.18461538461538451,0.16241025641025653,2.2667,0.16241025641025653,-0.2985397273569507,-0.15416666666666673,-0.16949152542372878,0 days 00:41:43.040938000,1.0
7,ATHX,2017-03-29,1.399999976158142,154730095.0,8400000.0,111316615.0,31940000.0,7868000.0,4.15,-4.793,-0.06,0.28800000000000003,0.0,0.0,0.0,1470000.0,46.06399999999999,0,1,0,0,0.0,0.0,333.0,0.0,False,True,-0.009571428571428469,-0.00714285714285715,1.4,1.6,0.08899466320496174,2017-03-29 04:40:00,4.0,40.0,12200.0,4162064.0,-0.0021929824561404128,-0.01323099415204676,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0             140.0      0.177778    Uptrend     1.35         1.4
1             190.0     -0.119497  Downtrend     1.35         1.4","Uptrend, Downtrend",1.4,1.35,1.6,12,110,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              12.0     -0.057143  Downtrend         1104       1116      12
1             117.0      0.143939    Uptrend         1116       1231     115
2             275.0     -0.119205  Downtrend         1231       1495     264
3             220.0      0.105263    Uptrend         1495       1519      24",0.6650602409638554,-0.119205298013245,0.1439393939393939,Downtrend,-0.05714285714285704,0.1439393939393939,0.3500000000000001,-0.16666666666666666,0.1250000000000001,0.4594594594594594,1642.0,143.0,5779878.0,1.62,Slight Uptrend,1.3866,1.51,1.31,-0.05524304053079475,0.14423770373575648,0.1851851851851852,0.1250000000000001,0.6750000000000006,Full Retracement,Sudden Upmove to Fade,109800000.0,91584180.0,0.8341,13.73,2.86,Mid IO,Large Float,,,micro downmove,retracement,1.39,1.47,-0.05755395683453226,0.08633093525179865,1.51,0.08633093525179865,-0.026490066225165587,-0.051470588235294164,-0.1027397260273972,0 days 00:00:00.603833000,5.0
16,CBAY,2017-01-30,1.850000023841858,109546838.0,9311000.0,28752451.0,10495000.0,6687000.0,1.99,-3.342,-0.3,3.917,8798000.0,2700000.0,328000.0,0.0,,0,0,0,[],0.0,0.0,0.0,0.0,False,False,0.03243243243243234,0.02162162162162152,1.85,2.15,0.057591623036649275,2017-01-30 07:25:00,7.0,25.0,32095.0,378309.0,0.007086907870197613,-0.0023978259711194827,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              19.0      0.182320    Uptrend     1.81        1.85
1              64.0     -0.135514  Downtrend     1.81        1.85","Uptrend, Downtrend",1.85,1.81,2.15,11,23,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               2.0     -0.003568  Downtrend          359        361       2
1               1.0      0.055767    Uptrend          361        362       1
2               2.0     -0.045525  Downtrend          362        364       2
3               7.0      0.074505    Uptrend          364        371       7
4              71.0     -0.088176  Downtrend          371        422      51
5             412.0      0.038462    Uptrend          422        518      96",0.34591194968553457,-0.08817635270541077,0.07450473729543501,Downtrend,-0.0035675675675676546,0.05576651838993165,0.005813953488372097,-0.011560693641618507,-0.005813953488372097,0.17687074829931973,651.0,66.0,1768346.0,1.73,Sideways,1.91,2.02,1.82,-0.047120418848167464,0.10471204188481674,0.1878453038674032,0.13953488372093015,0.7428180574555403,Full Retracement,Medium Downtrend,23450000.0,22106315.0,0.9427,4.19,1.54,Low IO,Large Float,,,micro downmove,retracement,1.89,1.9,-0.03703703703703695,0.06878306878306885,2.02,0.06878306878306885,-0.059405940594059466,,,,
18,CBIO,2017-03-28,8.010000228881836,17723934.0,15224000.0,4260561.0,27268000.0,4442000.0,1.874,-0.193,-4.57,1.1,12651000.0,12651000.0,0.0,271000.0,31.65,0,0,0,[],0.0,0.0,0.0,0.0,False,False,0.10986267166042456,0.2883895131086143,8.01,8.89,1.0899887514060742,2017-03-28 08:19:00,8.0,19.0,10667.0,7745687.0,0.07169811320754715,0.07610062893081747,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0              48.0      0.265403  Uptrend     6.33        8.01",Uptrend,8.01,6.33,8.89,20,0,"   Trend Length (m)  Move Percent    Pivot  Start Index  End Index  length
0             629.0      0.916355  Uptrend          201        661     460",0.0,,0.9163545568039948,Uptrend,0.9163545568039948,,0.11579457364341088,-0.1055145462440295,-0.0019379844961239891,0.2489154013015184,185.0,87.0,165896.0,5.7575,Sideways,8.89,18.58,8.89,0.0,1.0899887514060742,0.4044233807266983,0.09898762654668176,0.2447623734533185,Medium-Small Retracement,Sudden Downmove,1242000.0,634662.0,0.511,1.16,47.74,Low IO,Low Float,,,no downside,huge squeeze,10.32,15.35,0.0,0.7548546511627906,18.1101,0.7548546511627906,-0.1524066681023296,-0.14865935060527208,-0.13574291653745868,0 days 00:29:52.905688000,2.0
19,CBIO,2017-03-29,17.799999237060547,17723934.0,15224000.0,4260561.0,27268000.0,4442000.0,1.874,-0.193,-4.57,1.1,12651000.0,12651000.0,0.0,271000.0,31.65,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.019662921348314686,-0.13735955056179774,17.8,20.0,0.0,2017-03-29 06:44:00,6.0,44.0,12482.0,2599282.0,-0.0018436578171091567,-0.04056047197640122,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              35.0     -0.066429  Downtrend     14.0        17.8
1             248.0      0.529457    Uptrend     14.0        17.8
2              47.0     -0.109555  Downtrend     14.0        17.8","Downtrend, Uptrend, Downtrend",17.8,14.0,20.0,74,48,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0             624.0     -0.418539  Downtrend          739       1143     404",1.0,-0.4185393258426967,,Downtrend,-0.4185393258426967,,2.6007751937984493,-0.2185145317545748,1.8139534883720927,3.0303687635574827,361.0,392.0,20255703.0,18.58,Extreme Uptrend,17.45,17.45,10.2,-0.4154727793696275,0.4154727793696275,0.42857142857142855,0.10999999999999996,0.2566666666666666,Medium-Small Retracement,Medium Uptrend then downmove,1242000.0,634662.0,0.511,1.16,47.74,Low IO,Low Float,,,great downmove,no upside,15.355,10.35,-0.3357212634321069,0.0,15.355,0.0,-0.32595245848257903,-0.07352941176470587,-0.1305775248933144,0 days 00:00:00.707805000,2.0
20,CLBS,2017-03-17,7.699999809265138,47654768.0,23212380.0,8940857.0,11997606.0,9412085.0,0.945,-1.306,-1.12,-39.324,6124867.0,4207860.0,167715.0,7922667.0,1.334,0,1,0,1,0.0,0.0,333.0,0.0,False,True,-0.05689610389610394,-0.10532467532467532,7.7,7.98,0.0,2017-03-17 07:03:00,7.0,3.0,2865.0,1902931.0,-0.0015873015873015814,-0.03652380952380952,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0             148.0      0.272727  Uptrend     6.05         7.7",Uptrend,7.7,6.05,7.98,8,57,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0             438.0     -0.255844  Downtrend          243        553     310",1.0,-0.2558441558441558,,Downtrend,-0.2558441558441558,,0.13725490196078435,0.0,0.13725490196078435,0.1836493132793208,298.0,1.0,284823.0,5.8,Slight Uptrend,7.2619,7.2619,5.61,-0.2274749032622316,0.2274749032622316,0.31900826446281005,0.03508771929824565,0.10999000090900833,Small Retracement,Sudden Upmove to Fade,8308000.0,4245388.0,0.511,1.16,47.74,Low IO,Low Float,,,downmove,no upside,6.888999999999999,5.73,-0.17259399041950935,0.0,6.888999999999999,0.0,-0.16823922194803306,-0.07531168831168834,-0.10562414266117977,0 days 00:00:00.534090000,2.0
26,EVOK,2017-01-04,3.0,48627107.0,1411673.0,15388325.0,9007071.0,2324357.0,6.5760000000000005,-2.748,-0.04,1.454,0.0,0.0,-454.0,0.0,,1,4,1,4,5048632.0,0.0,649074.0,2.47,True,True,-0.03333333333333336,0.040000000000000036,3.0,3.14,0.16551724137931034,2017-01-04 07:45:00,7.0,45.0,78870.0,11429783.0,-0.004409045654956589,-0.015076091594367737,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              20.0     -0.082126  Downtrend     2.07         3.0
1              56.0      0.578947    Uptrend     2.07         3.0","Downtrend, Uptrend",3.0,2.07,3.14,56,6,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               1.0     -0.039833  Downtrend          339        340       1
1               3.0      0.171220    Uptrend          340        343       3
2             622.0     -0.205620  Downtrend          343        736     393",0.9924433249370276,-0.20561994249636886,0.17122027425794129,Downtrend,-0.03983333333333331,0.17122027425794129,0.07000000000000006,-0.06074766355140202,0.0049999999999998926,0.1443850267379679,234.0,578.0,1436880.0,2.14,Sideways,2.9,3.38,2.6,-0.10344827586206892,0.26896551724137924,0.5169082125603867,0.044585987261146535,0.08625513423418064,Barely Retraces,Sudden Downmove,12350000.0,11399050.0,0.923,3.29,4.41,Low IO,Medium,,,downmove,no upside,3.12,2.68,-0.16346153846153852,0.0,3.12,0.0,-0.141025641025641,-0.08112754542490436,-0.12804878048780485,,0.0
27,EVOK,2017-02-15,4.0,41856244.0,1135811.0,15388325.0,14654998.0,1980256.0,13.054,-2.45,-0.37,0.87,0.0,0.0,-964.0,0.0,,1,4,1,4,5048632.0,0.0,649074.0,2.47,True,True,0.052499999999999984,0.02725,4.0,4.65,0.06888361045130642,2017-02-15 07:31:00,7.0,31.0,44877.0,12216198.0,0.0046279069767440895,-0.05046511627906969,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0              60.0      0.515152  Uptrend     2.64         4.0",Uptrend,4.0,2.64,4.65,32,29,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              14.0     -0.060000  Downtrend          505        519      14
1              22.0      0.196809    Uptrend          519        541      22
2             593.0     -0.300000  Downtrend          541       1023     482",0.9575289575289576,-0.30000000000000004,0.196808510638298,Downtrend,-0.06000000000000005,0.196808510638298,0.10344827586206898,-0.09375,0.0,0.1950207468879667,649.0,343.0,1733112.0,2.88,Sideways,4.21,4.5,2.9,-0.3111638954869359,0.3800475059382423,0.7613636363636365,0.1397849462365592,0.18359813834055536,Small-Medium Retracement,Equal Uptrend/Downtrend,12350000.0,11275550.0,0.913,4.29,4.41,Low IO,Medium,,,great downmove,retracement,4.109,3.13,-0.2942321732781699,0.09028960817717216,4.48,0.09028960817717216,-0.3013392857142858,-0.15942028985507253,-0.16231884057971016,0 days 00:00:00.231981000,3.0
28,EYEG,2017-01-30,29.85000038146973,28761459.0,7308058.0,682360.0,3680224.0,3861417.0,0.568,-1.861,-5.7,-30.538,16069.0,0.0,275.0,160370.0,42.975,0,0,0,[],0.0,0.0,0.0,0.0,False,False,0.030150753768844137,0.005025125628140708,1.99,2.08,0.06829268292682933,2017-01-30 07:55:00,7.0,55.0,152851.0,3214410.0,0.011945125449898342,0.0015127014761879831,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0               2.0      0.136364    Uptrend     1.76        1.99
1               3.0     -0.115000  Downtrend     1.76        1.99
2              55.0      0.124294    Uptrend     1.76        1.99","Uptrend, Downtrend, Uptrend",1.99,1.76,2.08,27,26,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               4.0      0.110553    Uptrend          154        158       4
1             619.0     -0.221719  Downtrend          158        437     279",0.9858657243816256,-0.22171945701357465,0.11055276381909547,Uptrend,0.11055276381909547,-0.22171945701357465,0.16666666666666652,-0.1356084656084656,0.008456790123456681,0.2038216560509553,37.0,272.0,570612.0,1.89,Sideways,2.05,2.19,1.68,-0.18048780487804875,0.2487804878048781,0.18181818181818185,0.0432692307692308,0.23798076923076936,Medium-Small Retracement,Equal Uptrend/Downtrend,675400.0,623394.2000000001,0.9230000000000002,3.29,4.41,Low IO,Low Float,,,downmove,retracement,2.0,1.72,-0.16000000000000006,0.03499999999999992,2.07,0.03499999999999992,-0.16908212560386468,-0.09502262443438912,-0.07920792079207918,,0.0
29,EYEG,2017-02-21,37.5,22333889.0,10398843.0,725244.0,5482671.0,3104144.0,0.618,-1.3869999999999998,-4.2,-11.469,12907.0,0.0,303.0,184532.0,26.158,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.019999999999999928,-0.08480000000000007,2.5,2.6,0.5918367346938774,2017-02-21 06:46:00,6.0,46.0,2196.0,8983934.0,-0.008677042801556456,-0.00038910505836575737,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              10.0     -0.068783  Downtrend     1.89         2.5
1             110.0      0.420455    Uptrend     1.89         2.5","Downtrend, Uptrend",2.5,1.89,2.6,81,4,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              11.0     -0.136000  Downtrend          212        223      11
1             618.0      0.666667    Uptrend          223        669     446",0.024070021881838075,-0.13599999999999995,0.6666666666666666,Downtrend,-0.13599999999999995,0.6666666666666666,0.08588957055214733,-0.07350282485875713,0.0060736196319018535,0.1273885350318471,193.0,115.0,345677.0,1.77,Sideways,2.45,3.9,2.1542,-0.12073469387755112,0.7125714285714285,0.3756613756613758,0.038461538461538484,0.1023835319609968,Small Retracement,Sudden Downmove,682300.0,622939.9,0.913,4.29,4.41,Low IO,Low Float,,,micro downmove,huge squeeze,2.2880000000000003,3.55,-0.029195804195804087,0.6870629370629372,3.86,0.6870629370629372,-0.08031088082901558,-0.10505836575875488,-0.09387755102040816,0 days 00:00:00.328518000,2.0
30,GALT,2017-03-06,1.9299999475479128,94650967.0,4362000.0,34670684.0,13644000.0,4946000.0,3.209,-4.136,-0.15,0.551,0.0,0.0,0.0,0.0,,0,3,0,2,2000000.0,0.0,4761900.0,0.0,False,True,-0.02590673575129536,-0.05699481865284967,1.93,2.3,0.0,2017-03-06 07:36:00,7.0,36.0,8418.0,684565.0,-0.008379888268156499,-0.011173184357541888,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              21.0       0.32948    Uptrend     1.73        1.93
1              39.0      -0.16087  Downtrend     1.73        1.93","Uptrend, Downtrend",1.93,1.73,2.3,15,25,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0             444.0     -0.082902  Downtrend          685        916     231",1.0,-0.08290155440414504,,Downtrend,-0.08290155440414504,,0.11111111111111108,-0.17500000000000004,-0.08333333333333341,0.282051282051282,141.0,980.0,1868722.0,2.0,Sideways,1.88,1.88,1.681,-0.10585106382978716,0.10585106382978716,0.32947976878612706,0.16086956521739126,0.4882532418001526,Medium Retracement,Medium Downtrend,32909999.0,24050627.2692,0.7308,3.35,23.57,Low IO,Large Float,,,micro downmove,retracement,1.82,1.77,-0.0714285714285715,0.018681318681318698,1.854,0.018681318681318698,-0.04530744336569583,-0.041450777202072464,-0.09756097560975598,,0.0
32,GNCA,2017-01-05,40.08000183105469,131093992.0,10370000.0,3562337.0,27740000.0,15682000.0,6.199,-2.629,-4.56,0.535,16958000.0,3149000.0,439000.0,0.0,557.847,0,0,0,[],0.0,0.0,0.0,0.0,False,False,0.006506986027944193,0.0019960079840318935,5.01,5.75,0.02724784833220948,2017-01-05 05:36:00,5.0,36.0,1220.0,1904154.0,-0.02156862745098032,-0.02745098039215676,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0              42.0      0.223404    Uptrend      4.7        5.01
1             138.0     -0.128696  Downtrend      4.7        5.01","Uptrend, Downtrend",5.01,4.7,5.75,9,77,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               5.0      0.002016    Uptrend          342        347       5
1              17.0     -0.117547  Downtrend          347        363      16
2              34.0      0.169300    Uptrend          363        397      34
3             569.0     -0.083012  Downtrend          397        659     262",0.8769716088328076,-0.11754745921395998,0.16930022573363432,Uptrend,0.002015968063872344,-0.11754745921395998,0.038543897216274034,-0.057731958762886476,-0.02141327623126331,0.18004866180048645,22.0,814.0,826443.0,4.85,Sideways,5.0426,5.18,4.32,-0.1432990917383889,0.17054694007059834,0.2234042553191489,0.12869565217391307,0.5760662525879919,Medium Retracement,Sudden Upmove to Fade,3556000.0,2415946.4,0.6794,31.64,0.42,High IO,Low Float,,,downmove,retracement,5.02,4.75,-0.1042828685258963,0.0159362549800797,5.1,0.0159362549800797,-0.0686274509803921,-0.08493963143401817,-0.08493963143401817,,0.0
38,HTGM,2017-02-28,3.0,39627386.0,10057344.0,9525814.0,2767780.0,5505530.0,0.815,-1.234,-0.73,-2.04,10354890.0,6527795.0,398420.0,1371169.0,7.028,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.01666666666666661,-0.06666666666666672,3.0,3.1,0.0105423728813559,2017-02-28 07:02:00,7.0,2.0,23786.0,1349147.0,-0.007481484266325778,3.759539832337566e-05,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0             330.0      0.102941  Uptrend     2.72         3.0",Uptrend,3.0,2.72,3.1,9,44,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              46.0     -0.143333  Downtrend          566        612      46
1              28.0      0.120623    Uptrend          612        640      28
2              17.0     -0.072674  Downtrend          640        657      17
3             144.0      0.071255    Uptrend          657        759     102
4             302.0     -0.063265  Downtrend          759        872     113",0.5751633986928104,-0.1433333333333334,0.12062256809338524,Downtrend,-0.1433333333333334,0.12062256809338524,0.9199999999999998,-0.22586520947176675,0.4863387978142077,2.1941818181818182,400.0,278.0,20310987.0,3.5136,Large Uptrend,2.95,2.9811,2.55,-0.13559322033898316,0.14613559322033906,0.13970588235294112,0.03225806451612906,0.2308998302207133,Medium-Small Retracement,Long Downtrend,7939000.0,6075716.7,0.7653,19.78,3.69,Mid IO,Medium,,,micro downmove,retracement,2.8,2.68,-0.08928571428571429,0.02142857142857145,2.86,0.02142857142857145,-0.06293706293706285,-0.06354515050167238,-0.0813559322033899,0 days 02:52:55.098130000,1.0
39,HTGM,2017-03-24,6.440000057220459,39627386.0,10057344.0,9525814.0,2767780.0,5505530.0,0.815,-1.234,-0.73,-2.04,10354890.0,6527795.0,398420.0,1371169.0,7.028,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.009472049689441122,0.10989130434782607,6.44,6.86,1.037936980717981,2017-03-24 05:51:00,5.0,51.0,50130.0,20552133.0,0.0420560747663552,-0.02710280373831764,"   Trend Length (m)  Move Percent      Pivot  PM Open  Open Price
0               3.0     -0.051852  Downtrend      5.4        6.44
1             327.0      0.257813    Uptrend      5.4        6.44","Downtrend, Uptrend",6.44,5.4,6.86,168,14,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0               3.0     -0.037267  Downtrend         1368       1371       3
1             626.0      0.532258    Uptrend         1371       1890     519",0.005747126436781609,-0.03726708074534165,0.532258064516129,Downtrend,-0.03726708074534165,0.532258064516129,1.8488888888888888,-0.20124804992199688,1.2755555555555556,2.2871794871794866,1504.0,45.0,46355226.0,6.41,Extreme Uptrend,6.379,13.0,6.21,-0.02649318074933369,1.0644301614673146,0.2703703703703704,0.06122448979591835,0.2264467430807939,Medium-Small Retracement,Sudden Downmove,7737000.0,5921126.1,0.7653,19.78,3.69,Mid IO,Medium,,,no downside,huge squeeze,7.1477,9.41,0.0,0.7698000755487778,12.65,0.7698000755487778,-0.2561264822134388,-0.12266450040617385,-0.10503741389234447,0 days 00:00:00.373327000,5.0
40,HTGM,2017-03-27,12.0,39627386.0,10057344.0,9525814.0,2767780.0,5505530.0,0.815,-1.234,-0.73,-2.04,10354890.0,6527795.0,398420.0,1371169.0,7.028,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.06666666666666672,-0.12667499999999995,12.0,12.65,0.0,2017-03-27 06:11:00,6.0,11.0,11510.0,6233827.0,-0.014146219328993516,-0.00743824069437482,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0             286.0      0.387283  Uptrend     8.65        12.0",Uptrend,12.0,8.65,12.65,103,51,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              40.0     -0.222417  Downtrend         1883       1923      40
1              55.0      0.173508    Uptrend         1923       1978      55
2             534.0     -0.130594  Downtrend         1978       2332     354",0.8775055679287305,-0.2224166666666667,0.1735076626299432,Downtrend,-0.2224166666666667,0.1735076626299432,5.280193236714976,-0.2761538461538461,3.5458937198067635,5.666666666666668,1562.0,421.0,99844745.0,13.0,Extreme Uptrend,11.2,11.2,8.9,-0.2053571428571428,0.2053571428571428,0.4624277456647399,0.0513833992094862,0.1111166007905139,Small Retracement,Medium Uptrend then downmove,7737000.0,5921126.1,0.7653,19.78,3.69,Mid IO,Medium,,,downmove,retracement,10.4799,9.42,-0.14808347407895112,0.04485729825666262,10.95,0.04485729825666262,-0.13972602739726026,-0.08108108108108117,-0.11964285714285712,0 days 00:00:00.193174000,2.0
41,IDRA,2017-03-22,19.200000762939453,311720123.0,7007000.0,18643548.0,79694000.0,15566000.0,13.629,-7.207000000000002,-0.8,0.08199999999999999,431000.0,300000.0,16000.0,378000.0,19.144,0,0,0,[],0.0,0.0,0.0,0.0,False,False,-0.0316666666666667,-0.03333333333333337,2.4,2.55,0.0885972461273667,2017-03-22 07:47:00,7.0,47.0,83175.0,2443782.0,-0.002719854941069744,-0.002763027241721839,"   Trend Length (m)  Move Percent    Pivot  PM Open  Open Price
0             138.0      0.121495  Uptrend     2.14         2.4",Uptrend,2.4,2.14,2.55,31,35,"   Trend Length (m)  Move Percent      Pivot  Start Index  End Index  length
0              17.0     -0.060417  Downtrend         1113       1130      17
1              30.0      0.050998    Uptrend         1130       1160      30
2              67.0     -0.046414  Downtrend         1160       1226      66
3             514.0      0.092920    Uptrend         1226       1549     323",0.19036697247706424,-0.060416666666666674,0.09292035398230107,Downtrend,-0.060416666666666674,0.050997782705099866,0.2124352331606217,-0.059829059829059686,0.13989637305699495,0.3072625698324021,1812.0,295.0,12649468.0,2.34,Slight Uptrend,2.324,2.5299,2.25,-0.031841652323579966,0.12043889845094667,0.19158878504672885,0.05882352941176468,0.30703012912482075,Medium-Small Retracement,Equal Uptrend/Downtrend,18640000.0,18045384.0,0.9681,1.95,1.24,Low IO,Medium,,,micro downmove,retracement,2.32,2.47,-0.02370689655172402,0.08043103448275876,2.5066,0.08043103448275876,-0.014601452166281004,-0.03333333333333337,-0.03734439834024909,0 days 00:00:00.327542000,4.0
